Country{code='ARE', name='United Arab Emirates', continent='Asia', region='Middle East', population=2441000, capital=65}
Country{code='LVA', name='Latvia', continent='Europe', region='Baltic Countries', population=2424200, capital=2434}
Country{code='LSO', name='Lesotho', continent='Africa', region='Southern Africa', population=2153000, capital=2437}
Country{code='BTN', name='Bhutan', continent='Asia', region='Southern and Central Asia', population=2124000, capital=192}
Country{code='MKD', name='Macedonia', continent='Europe', region='Southern Europe', population=2024000, capital=2460}
Country{code='SVN', name='Slovenia', continent='Europe', region='Southern Europe', population=1987800, capital=3212}
Country{code='KWT', name='Kuwait', continent='Asia', region='Middle East', population=1972000, capital=2429}
Country{code='NAM', name='Namibia', continent='Africa', region='Southern Africa', population=1726000, capital=2726}
Country{code='BWA', name='Botswana', continent='Africa', region='Southern Africa', population=1622000, capital=204}
Country{code='EST', name='Estonia', continent='Europe', region='Baltic Countries', population=1439200, capital=3791}
Country{code='GMB', name='Gambia', continent='Africa', region='Western Africa', population=1305000, capital=904}
Country{code='TTO', name='Trinidad and Tobago', continent='North America', region='Caribbean', population=1295000, capital=3336}
Country{code='GAB', name='Gabon', continent='Africa', region='Central Africa', population=1226000, capital=902}
Country{code='GNB', name='Guinea-Bissau', continent='Africa', region='Western Africa', population=1213000, capital=927}
Country{code='MUS', name='Mauritius', continent='Africa', region='Eastern Africa', population=1158000, capital=2511}
Country{code='SWZ', name='Swaziland', continent='Africa', region='Southern Africa', population=1008000, capital=3244}
Country{code='TMP', name='East Timor', continent='Asia', region='Southeast Asia', population=885000, capital=1522}
Country{code='GUY', name='Guyana', continent='South America', region='South America', population=861000, capital=928}
Country{code='FJI', name='Fiji Islands', continent='Oceania', region='Melanesia', population=817000, capital=764}
Country{code='CYP', name='Cyprus', continent='Asia', region='Middle East', population=754700, capital=2430}
Country{code='REU', name='Réunion', continent='Africa', region='Eastern Africa', population=699000, capital=3017}
Country{code='DJI', name='Djibouti', continent='Africa', region='Eastern Africa', population=638000, capital=585}
Country{code='BHR', name='Bahrain', continent='Asia', region='Middle East', population=617000, capital=149}
Country{code='QAT', name='Qatar', continent='Asia', region='Middle East', population=599000, capital=2973}
Country{code='COM', name='Comoros', continent='Africa', region='Eastern Africa', population=578000, capital=2295}
Country{code='MAC', name='Macao', continent='Asia', region='Eastern Asia', population=473000, capital=2454}
Country{code='GLP', name='Guadeloupe', continent='North America', region='Caribbean', population=456000, capital=919}
Country{code='GNQ', name='Equatorial Guinea', continent='Africa', region='Central Africa', population=453000, capital=2972}
Country{code='SLB', name='Solomon Islands', continent='Oceania', region='Melanesia', population=444000, capital=3161}
Country{code='LUX', name='Luxembourg', continent='Europe', region='Western Europe', population=435700, capital=2452}
Country{code='CPV', name='Cape Verde', continent='Africa', region='Western Africa', population=428000, capital=1859}
Country{code='SUR', name='Suriname', continent='South America', region='South America', population=417000, capital=3243}
Country{code='MTQ', name='Martinique', continent='North America', region='Caribbean', population=395000, capital=2508}
Country{code='MLT', name='Malta', continent='Europe', region='Southern Europe', population=380200, capital=2484}
Country{code='BRN', name='Brunei', continent='Asia', region='Southeast Asia', population=328000, capital=538}
Country{code='BHS', name='Bahamas', continent='North America', region='Caribbean', population=307000, capital=148}
Country{code='ESH', name='Western Sahara', continent='Africa', region='Northern Africa', population=293000, capital=2453}
Country{code='MDV', name='Maldives', continent='Asia', region='Southern and Central Asia', population=286000, capital=2463}
Country{code='ISL', name='Iceland', continent='Europe', region='Nordic Countries', population=279000, capital=1449}
Country{code='BRB', name='Barbados', continent='North America', region='Caribbean', population=270000, capital=174}
Country{code='BLZ', name='Belize', continent='North America', region='Central America', population=241000, capital=185}
Country{code='PYF', name='French Polynesia', continent='Oceania', region='Polynesia', population=235000, capital=3016}
Country{code='ANT', name='Netherlands Antilles', continent='North America', region='Caribbean', population=217000, capital=33}
Country{code='NCL', name='New Caledonia', continent='Oceania', region='Melanesia', population=214000, capital=3493}
Country{code='VUT', name='Vanuatu', continent='Oceania', region='Melanesia', population=190000, capital=3537}
Country{code='GUF', name='French Guiana', continent='South America', region='South America', population=181000, capital=3014}
Country{code='WSM', name='Samoa', continent='Oceania', region='Polynesia', population=180000, capital=3169}
Country{code='GUM', name='Guam', continent='Oceania', region='Micronesia', population=168000, capital=921}
Country{code='LCA', name='Saint Lucia', continent='North America', region='Caribbean', population=154000, capital=3065}
Country{code='MYT', name='Mayotte', continent='Africa', region='Eastern Africa', population=149000, capital=2514}
Country{code='STP', name='Sao Tome and Principe', continent='Africa', region='Central Africa', population=147000, capital=3172}
Country{code='FSM', name='Micronesia, Federated States of', continent='Oceania', region='Micronesia', population=119000, capital=2689}
Country{code='VCT', name='Saint Vincent and the Grenadines', continent='North America', region='Caribbean', population=114000, capital=3066}
Country{code='ABW', name='Aruba', continent='North America', region='Caribbean', population=103000, capital=129}
Country{code='TON', name='Tonga', continent='Oceania', region='Polynesia', population=99000, capital=3334}
Country{code='GRD', name='Grenada', continent='North America', region='Caribbean', population=94000, capital=916}
Country{code='VIR', name='Virgin Islands, U.S.', continent='North America', region='Caribbean', population=93000, capital=4067}
Country{code='KIR', name='Kiribati', continent='Oceania', region='Micronesia', population=83000, capital=2256}
Country{code='AND', name='Andorra', continent='Europe', region='Southern Europe', population=78000, capital=55}
Country{code='MNP', name='Northern Mariana Islands', continent='Oceania', region='Micronesia', population=78000, capital=2913}
Country{code='SYC', name='Seychelles', continent='Africa', region='Eastern Africa', population=77000, capital=3206}
Country{code='DMA', name='Dominica', continent='North America', region='Caribbean', population=71000, capital=586}
Country{code='ASM', name='American Samoa', continent='Oceania', region='Polynesia', population=68000, capital=54}
Country{code='ATG', name='Antigua and Barbuda', continent='North America', region='Caribbean', population=68000, capital=63}
